,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,blank
4,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2,
5,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1,
6,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4,
9,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,
10,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,
11,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,
12,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,
13,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3,
14,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4,
15,10.4,8,460.0,215,3.0,5.4239999999999995,17.82,0,0,3,4,
16,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4,
21,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2,
22,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2,
23,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4,
24,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2,
28,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4,
29,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6,
30,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8,
